query,sql
Data Products Score and Machine Readability Score of United States since 2012.,"SELECT data_products_score , machine_readability_score FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'United States'"
Metadata Available Score and Terms of Use Score of Greenland since 2010.,"SELECT metadata_available_score , terms_of_use_score FROM spi_index_labelled_vFinal WHERE date > 2010 AND country = 'Greenland'"
What is the SDDS/e-GDDS subscription and Reduced Inequality of Nigeria since 2016.,"SELECT sdds/e-gdds_subscription , reduced_inequality FROM spi_index_labelled_vFinal WHERE date > 2016 AND country = 'Nigeria'"
Agriculture census of Mozambique in 2018.,SELECT agriculture_census FROM spi_index_labelled_vFinal WHERE country = 'Mozambique' AND date = 2018
Terms of Use Score of Singapore in 2004.,SELECT terms_of_use_score FROM spi_index_labelled_vFinal WHERE country = 'Singapore' AND date = 2004
List Top 54 countries by Sustainable Cities and Communities.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'sustainable_cities_and_communities' DESC LIMIT 54
Countries having Data Infrastructure Score between 41 and 45.,SELECT country FROM spi_index_labelled_vFinal WHERE data_infrastructure_score > 41 AND data_infrastructure_score < 45
Countries having Data Use Score between 35 and 53,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 35 AND data_use_score < 53
Economic Statistics of Mauritania before 2015,SELECT economic_statistics FROM spi_index_labelled_vFinal WHERE date < 2015 AND country = 'Mauritania'
Show me maximum of Availability of Comparable Poverty headcount ratio at 1.90 a day,SELECT max(availability_of_comparable_poverty_headcount_ratio_at_1.90_a_day) FROM spi_index_labelled_vFinal
Countries having Data Infrastructure Score between 5 and 6 in 2017,SELECT country FROM spi_index_labelled_vFinal WHERE data_infrastructure_score > 5 AND data_infrastructure_score < 6 AND date = 2017
total of income in 2013,SELECT sum(income) FROM spi_index_labelled_vFinal WHERE date = 2013
Countries having Download Options Score between 0.3 and 0.8.,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.3 AND download_options_score < 0.8
List Quality of Debt service data according to World Bank of Bangladesh after 2009,SELECT quality_of_debt_service_data_according_to_world_bank FROM spi_index_labelled_vFinal WHERE date > 2009 AND country ='Bangladesh'
Countries having Metadata Available Score between 0.3 and 0.4 in 2005,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.3 AND metadata_available_score < 0.4 AND date = 2005
Countries having Data Service Score between 4 and 25 in 2016.,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 4 AND data_service_score < 25 AND date = 2016
List of Data Infrastructure Score and Non_Proprietary format Score of Seychelles since 2010.,"SELECT data_infrastructure_score , non_proprietary_format_score FROM spi_index_labelled_vFinal WHERE date > 2010 AND country = 'Seychelles'"
Find the Data Use Score and Data Products Score of Guyana since 2010.,"SELECT data_use_score , data_products_score FROM spi_index_labelled_vFinal WHERE date > 2010 AND country = 'Guyana'"
List of System of national accounts in use of Guyana before 2008?,SELECT system_of_national_accounts_in_use FROM spi_index_labelled_vFinal WHERE date < 2008 AND country = 'Guyana'
minimum of Business/establishment survey in Sub-Saharan Africa,SELECT min(business/establishment_survey) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa'
Tell me the Countries having Data Sources Score between 57 and 92 in 2012.,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 57 AND data_sources_score < 92 AND date = 2012
Tell me the minimum of NADA metadata in 2006,SELECT min(nada_metadata) FROM spi_index_labelled_vFinal WHERE date = 2006
Countries having ODIN Open Data Openness Score between 0.1 and 0.7.,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.1 AND odin_open_data_openness_score < 0.7
average of Availability of Comparable Poverty headcount ratio at 1.90 a day in 2007.,SELECT avg(availability_of_comparable_poverty_headcount_ratio_at_1.90_a_day) FROM spi_index_labelled_vFinal WHERE date = 2007
Quality Education of Italy before 2007,SELECT quality_education FROM spi_index_labelled_vFinal WHERE date < 2007 AND country = 'Italy'
List of Countries having Data Service Score between 26 and 80.,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 26 AND data_service_score < 80
Countries having Machine Readability Score between 0.0 and 0.1.,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.0 AND machine_readability_score < 0.1
weights of Finland in 2006?,SELECT weights FROM spi_index_labelled_vFinal WHERE country = 'Finland' AND date = 2006
ODIN Open Data Openness Score of United Kingdom in 2014?,SELECT odin_open_data_openness_score FROM spi_index_labelled_vFinal WHERE country = 'United Kingdom' AND date = 2014
maximum of Geospatial Data.,SELECT max(geospatial_data) FROM spi_index_labelled_vFinal
maximum of Compilation of monetary and financial statistics in Latin America & Caribbean?,SELECT max(compilation_of_monetary_and_financial_statistics) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean'
minimum of Standards and Methods in 2004?,SELECT min(standards_and_methods) FROM spi_index_labelled_vFinal WHERE date = 2004
Top 18 countries by Geospatial Data,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'geospatial_data' DESC LIMIT 18
List of Countries having Data Service Score between 77 and 79 in 2017,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 77 AND data_service_score < 79 AND date = 2017
Central government accounting status of Tonga before 2011,SELECT central_government_accounting_status FROM spi_index_labelled_vFinal WHERE date < 2011 AND country = 'Tonga'
Show me minimum of National Accounts base year in South Asia?,SELECT min(national_accounts_base_year) FROM spi_index_labelled_vFinal WHERE region = 'South Asia'
"Show me Classification of national industry of Bahamas, The in 2012","SELECT classification_of_national_industry FROM spi_index_labelled_vFinal WHERE country = 'Bahamas, The' AND date = 2012"
Countries having Data Use Score between 1 and 53,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 1 AND data_use_score < 53
Online access of Fiji after 2004.,SELECT online_access FROM spi_index_labelled_vFinal WHERE date > 2004 AND country ='Fiji'
Countries having Download Options Score between 0.3 and 0.6?,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.3 AND download_options_score < 0.6
total of Health/Demographic survey,SELECT sum(health/demographic_survey) FROM spi_index_labelled_vFinal
Show me Quality of Debt service data according to World Bank of Tonga after 2009.,SELECT quality_of_debt_service_data_according_to_world_bank FROM spi_index_labelled_vFinal WHERE date > 2009 AND country ='Tonga'
Population & Housing census of Cuba after 2011?,SELECT population_&_housing_census FROM spi_index_labelled_vFinal WHERE date > 2011 AND country ='Cuba'
population of Ecuador in 2012.,SELECT population FROM spi_index_labelled_vFinal WHERE country = 'Ecuador' AND date = 2012
Top 8 countries by Finance?,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'finance' DESC LIMIT 8
List of National Accounts base year of Ghana after 2008.,SELECT national_accounts_base_year FROM spi_index_labelled_vFinal WHERE date > 2008 AND country ='Ghana'
Agriculture census and Life on Land of Myanmar since 2005.,"SELECT agriculture_census , life_on_land FROM spi_index_labelled_vFinal WHERE date > 2005 AND country = 'Myanmar'"
maximum of Central government accounting status in 2005?,SELECT max(central_government_accounting_status) FROM spi_index_labelled_vFinal WHERE date = 2005
Find the average Gender Equality by region?,"SELECT avg(gender_equality), region FROM spi_index_labelled_vFinal GROUP BY region"
Show me maximum of Finance in 2019,SELECT max(finance) FROM spi_index_labelled_vFinal WHERE date = 2019
What is the Terms of Use Score and Data Use Score of Denmark since 2016,"SELECT terms_of_use_score , data_use_score FROM spi_index_labelled_vFinal WHERE date > 2016 AND country = 'Denmark'"
total of Affordable and Clean Energy in Middle East & North Africa.,SELECT sum(affordable_and_clean_energy) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa'
Countries having Non_Proprietary format Score between 0.2 and 0.9?,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.2 AND non_proprietary_format_score < 0.9
Top 38 countries by iso3c.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'iso3c' DESC LIMIT 38
Tell me the Countries having Data Service Score between 22 and 68.,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 22 AND data_service_score < 68
Compilation of monetary and financial statistics of Singapore after 2004?,SELECT compilation_of_monetary_and_financial_statistics FROM spi_index_labelled_vFinal WHERE date > 2004 AND country ='Singapore'
Countries having Metadata Available Score between 0.0 and 0.1,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.0 AND metadata_available_score < 0.1
minimum of Zero Hunger in 2012?,SELECT min(zero_hunger) FROM spi_index_labelled_vFinal WHERE date = 2012
Show me Countries having Metadata Available Score between 0.0 and 0.4 in 2015?,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.0 AND metadata_available_score < 0.4 AND date = 2015
Find the Countries having Data Products Score between 38 and 90.,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 38 AND data_products_score < 90
Classification of status of employment of Lithuania after 2004?,SELECT classification_of_status_of_employment FROM spi_index_labelled_vFinal WHERE date > 2004 AND country ='Lithuania'
Data Infrastructure Score and Machine Readability Score of Malawi since 2016?,"SELECT data_infrastructure_score , machine_readability_score FROM spi_index_labelled_vFinal WHERE date > 2016 AND country = 'Malawi'"
Countries having Terms of Use Score between 0.2 and 0.8 in 2017,SELECT country FROM spi_index_labelled_vFinal WHERE terms_of_use_score > 0.2 AND terms_of_use_score < 0.8 AND date = 2017
List of minimum of Labor force participation rate by sex and age.,SELECT min(labor_force_participation_rate_by_sex_and_age) FROM spi_index_labelled_vFinal
Labor Force Survey of Lithuania before 2010?,SELECT labor_force_survey FROM spi_index_labelled_vFinal WHERE date < 2010 AND country = 'Lithuania'
What is the Countries having Metadata Available Score between 0.2 and 0.9 in 2008?,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.2 AND metadata_available_score < 0.9 AND date = 2008
Tell me the Data Sources Score of South Sudan in 2014?,SELECT data_sources_score FROM spi_index_labelled_vFinal WHERE country = 'South Sudan' AND date = 2014
Classification of status of employment and Business process of Guinea-Bissau since 2012?,"SELECT classification_of_status_of_employment , business_process FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'Guinea-Bissau'"
average of Compilation of government finance statistics?,SELECT avg(compilation_of_government_finance_statistics) FROM spi_index_labelled_vFinal
Peace and Justice Strong Institutions of Eritrea after 2010.,SELECT peace_and_justice_strong_institutions FROM spi_index_labelled_vFinal WHERE date > 2010 AND country ='Eritrea'
Finance of Mexico after 2007?,SELECT finance FROM spi_index_labelled_vFinal WHERE date > 2007 AND country ='Mexico'
Tell me the minimum of Clean Water and Sanitation in East Asia & Pacific.,SELECT min(clean_water_and_sanitation) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific'
Countries having Data Service Score between 41 and 63.,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 41 AND data_service_score < 63
Partnerships to achieve the Goal of St. Martin (French part) after 2011?,SELECT partnerships_to_achieve_the_goal FROM spi_index_labelled_vFinal WHERE date > 2011 AND country ='St. Martin (French part)'
Countries having Terms of Use Score between 0.0 and 0.2 in 2009,SELECT country FROM spi_index_labelled_vFinal WHERE terms_of_use_score > 0.0 AND terms_of_use_score < 0.2 AND date = 2009
List of Compilation of government finance statistics of San Marino after 2011?,SELECT compilation_of_government_finance_statistics FROM spi_index_labelled_vFinal WHERE date > 2011 AND country ='San Marino'
Data Service Score of Angola in 2011?,SELECT data_service_score FROM spi_index_labelled_vFinal WHERE country = 'Angola' AND date = 2011
minimum Finance by region.,"SELECT min(finance), region FROM spi_index_labelled_vFinal GROUP BY region"
List count Life on Land by region?,"SELECT count(life_on_land), region FROM spi_index_labelled_vFinal GROUP BY region"
Tell me the Data Sources Score and ODIN Open Data Openness Score of Niger since 2006,"SELECT data_sources_score , odin_open_data_openness_score FROM spi_index_labelled_vFinal WHERE date > 2006 AND country = 'Niger'"
